code,name
300503,昊志机电
300505,川金诺
300506,名家汇
000932,华菱钢铁
600176,中国巨石
601088,中国神华
000968,蓝焰控股
300241,瑞丰光电
002550,千红制药
002519,银河电子
002325,洪涛股份
300207,欣旺达
300183,东软载波
002426,胜利精密
002492,恒基达鑫
300182,捷成股份
601800,中国交建
600585,海螺水泥
600068,葛洲坝
600820,隧道股份
300145,中金环境
000581,威孚高科
002051,中工国际
601611,中国核建
002373,千方科技
601127,赛力斯
601966,玲珑轮胎
300515,三德科技
002799,环球印务
603958,哈森股份
002802,洪汇新材
603909,建发合诚
002142,宁波银行
002557,洽洽食品
300146,汤臣倍健
002541,鸿路钢构
000665,湖北广电
300516,久之洋
300520,科大国创
000911,南宁糖业
600392,盛和资源
601899,紫金矿业
000739,普洛药业
600998,九州通
601965,中国汽研
000661,长春高新
600987,航民股份
600267,海正药业
600406,国电南瑞
002268,电科网安
300188,美亚柏科
600315,上海家化
300009,安科生物
002032,苏泊尔
002050,三花智控
000418,小天鹅A
002493,荣盛石化
002405,四维图新
600112,ST天成
600169,太原重工
600312,平高电气
600329,达仁堂
600380,健康元
600673,东阳光
600864,哈投股份
002180,纳思达
600266,城建发展
600643,爱建集团
600779,水井坊
600257,大湖股份
000630,铜陵有色
601997,贵阳银行
000980,众泰汽车
300332,天壕环境
002045,国光电器
002202,金风科技
603729,龙韵股份
000725,京东方A
600217,中再资环
300408,三环集团
002327,富安娜
300059,东方财富
300104,乐视退
600570,恒生电子
000413,东旭光电
002594,比亚迪
002739,万达电影
000423,东阿阿胶
002007,华兰生物
600030,中信证券
000839,ST国安
601801,皖新传媒
300072,海新能科
300156,神雾退
300316,晶盛机电
000415,渤海租赁
601128,常熟银行
002815,崇达技术
300536,农尚环境
300548,博创科技
000748,长城信息
600271,航天信息
002049,紫光国微
601989,中国重工
600482,中国动力
002260,德奥退
002151,北斗星通
600151,航天机电
600855,航天长峰
000820,神雾节能
600703,三安光电
603228,景旺电子
603040,新坐标
002138,顺络电子
300431,暴风退
300222,科大智能
300376,易事特
300124,汇川技术
300136,信维通信
000568,泸州老窖
300357,我武生物
603444,吉比特
002027,分众传媒
600959,江苏有线
600977,中国电影
600037,歌华有线
601098,中南传媒
300633,开立医疗
600056,中国医药
002044,美年健康
000513,丽珠集团
600297,广汇汽车
600166,福田汽车
601633,长城汽车
601258,*ST庞大
000800,一汽解放
600418,江淮汽车
601992,金隅集团
000401,冀东水泥
000012,南玻A
600881,亚泰集团
601636,旗滨集团
600801,华新水泥
002596,海南瑞泽
600258,首旅酒店
603899,晨光股份
000951,中国重汽
600031,三一重工
000063,中兴通讯
601012,隆基绿能
002366,台海核电
000338,潍柴动力
002508,老板电器
002035,华帝股份
002668,奥马电器
000921,海信家电
603515,欧普照明
601390,中国中铁
601669,中国电建
002081,金螳螂
601618,中国中冶
600170,上海建工
300347,泰格医药
300012,华测检测
300003,乐普医疗
300166,东方国信
300122,智飞生物
300133,华策影视
600028,中国石化
300523,辰安科技
002696,百洋股份
002001,新和成
603619,中曼石油
603127,昭衍新药
002746,仙坛股份
300271,华宇软件
300170,汉得信息
300459,汤姆猫
600584,长电科技
000426,兴业矿业
603799,华友钴业
600282,南钢股份
600426,华鲁恒升
600893,航发动力
000768,中航西飞
002465,海格通信
002179,中航光电
600967,内蒙一机
000546,金圆股份
002371,北方华创
603043,广州酒家
600132,重庆啤酒
603096,新经典
600529,山东药玻
300284,苏交科
300601,康泰生物
300661,圣邦股份
600536,中国软件
603429,集友股份
300400,劲拓股份
600438,通威股份
601229,上海银行
601688,华泰证券
002624,完美世界
601881,中国银河
300457,赢合科技
601155,新城控股
600383,金地集团
000671,ST阳光城
000977,浪潮信息
300176,派生科技
600728,佳都科技
600446,金证股份
300760,迈瑞医疗
600161,天坛生物
000860,顺鑫农业
603939,益丰药房
002697,红旗连锁
603018,华设集团
601077,渝农商行
688128,中国电研
688181,八亿时空
603109,神驰机电
688081,兴图新科
600009,上海机场
300454,深信服
300363,博腾股份
603986,兆易创新
002967,广电计量
002212,天融信
603882,金域医学
300815,玉禾田
002916,深南电路
601766,中国中车
600019,宝钢股份
600027,华电国际
601006,大秦铁路
601333,广深铁路
600050,中国联通
603855,华荣股份
000976,ST华铁
002928,华夏航空
000723,美锦能源
688025,杰普特
601168,西部矿业
002182,云海金属
603708,家家悦
002695,煌上煌
002475,立讯精密
300015,爱尔眼科
603259,药明康德
600521,华海药业
300144,宋城演艺
300750,宁德时代
300618,寒锐钴业
002460,赣锋锂业
300759,康龙化成
002727,一心堂
002459,晶澳科技
600323,瀚蓝环境
002324,普利特
300331,苏大维格
300455,康拓红外
300529,健帆生物
000656,金科股份
300014,亿纬锂能
600588,用友网络
000938,紫光股份
600436,片仔癀
600984,建设机械
600486,扬农化工
002602,世纪华通
603517,绝味食品
300677,英科医疗
002821,凯莱英
300010,*ST豆神
002833,弘亚数控
600563,法拉电子
300274,阳光电源
000686,东北证券
600339,中油工程
603568,伟明环保
601928,凤凰传媒
002372,伟星新材
601000,唐山港
000937,冀中能源
600926,杭州银行
002507,涪陵榨菜
002555,三七互娱
601816,京沪高铁
601988,中国银行
601117,中国化学
603113,金能科技
603833,欧派家居
300763,锦浪科技
002025,航天电器
002616,长青集团
002791,坚朗五金
603686,福龙马
300738,奥飞数据
603317,天味食品
300628,亿联网络
600745,闻泰科技
603501,韦尔股份
300630,普利制药
600496,精工钢构
002726,龙大美食
603881,数据港
002747,埃斯顿
603712,七一二
688208,道通科技
603010,万盛股份
603737,三棵树
688390,固德威
603236,移远通信
688111,金山办公
300502,新易盛
600809,山西汾酒
603345,安井食品
300791,仙乐健康
000799,酒鬼酒
600188,兖矿能源
601111,中国国航
002352,顺丰控股
002709,天赐材料
300395,菲利华
300662,科锐国际
002078,太阳纸业
002705,新宝股份
000933,神火股份
300979,华利集团
002444,巨星科技
300132,青松股份
300673,佩蒂股份
300737,科顺股份
603267,鸿远电子
000516,国际医学
300775,三角防务
002851,麦格米特
002085,万丰奥威
002156,通富微电
300595,欧普康视
000157,中联重科
603225,新凤鸣
601699,潞安环能
601898,中煤能源
603187,海容冷链
002311,海大集团
603129,春风动力
002847,盐津铺子
603565,中谷物流
300725,药石科技
688169,石头科技
601058,赛轮轮胎
600567,山鹰国际
600256,广汇能源
002867,周大生
300294,博雅生物
601838,成都银行
000902,新洋丰
600963,岳阳林纸
300973,立高食品
002832,比音勒芬
603997,继峰股份
603730,岱美股份
300575,中旗股份
600905,三峡能源
603693,江苏新能
600098,广州发展
000420,吉林化纤
688667,菱电电控
603063,禾望电气
300772,运达股份
603985,恒润股份
300569,天能重工
600150,中国船舶
603185,弘元绿能
601009,南京银行
600901,江苏金租
601919,中远海控
601100,恒立液压
600398,海澜之家
002601,龙佰集团
688599,天合光能
601222,林洋能源
600061,国投资本
300054,鼎龙股份
600702,舍得酒业
603589,口子窖
600298,安琪酵母
301226,祥明智能
600999,招商证券
601211,国泰君安
600369,西南证券
002961,瑞达期货
601108,财通证券
601377,兴业证券
600461,洪城环境
603639,海利尔
600389,江山股份
002129,TCL中环
600089,特变电工
603806,福斯特
300751,迈为股份
002153,石基信息
300119,瑞普生物
600459,贵研铂业
601666,平煤股份
002472,双环传动
300806,斯迪克
603681,永冠新材
603055,台华新材
601677,明泰铝业
688617,惠泰医疗
688621,阳光诺和
000736,中交地产
600919,江苏银行
300782,卓胜微
600460,士兰微
688019,安集科技
603195,公牛集团
002384,东山精密
603279,景津装备
000935,四川双马
300747,锐科激光
688005,容百科技
002597,金禾实业
600803,新奥股份
688223,晶科能源
600655,豫园股份
600566,济川药业
688508,芯朋微
300223,北京君正
002651,利君股份
300888,稳健医疗
603300,华铁应急
688036,传音控股
002812,恩捷股份
002074,国轩高科
603659,璞泰来
002939,长城证券
300567,精测电子
300850,新强联
300957,贝泰妮
300067,安诺其
002192,融捷股份
300409,道氏技术
300896,爱美客
688699,明微电子
688202,美迪西
300382,斯莱克
300343,联创股份
600596,新安股份
300365,恒华科技
002454,松芝股份
688556,高测股份
603801,志邦家居
000983,山西焦煤
002124,天邦食品
002041,登海种业
000998,隆平高科
002056,横店东磁
600285,羚锐制药
688276,百克生物
603896,寿仙谷
002568,百润股份
300438,鹏辉能源
603678,火炬电子
603982,泉峰汽车
002008,大族激光
689009,九号公司
600707,彩虹股份
002837,英维克
300990,同飞股份
603456,九洲药业
603688,石英股份
835185,贝特瑞
300398,飞凯材料
300233,金城医药
836077,吉林碳谷
603035,常熟汽饰
300390,天华新能
603398,沐邦高科
430047,诺思兰德
600988,赤峰黄金
601001,晋控煤业
600863,内蒙华电
605117,德业股份
688680,海优新材
601825,沪农商行
605108,同庆楼
300856,科思股份
603233,大参林
601799,星宇股份
000810,创维数字
688148,芳源股份
601865,福莱特
601225,陕西煤业
001979,招商蛇口
000683,远兴能源
600559,老白干酒
000690,宝新能源
600023,浙能电力
002612,朗姿股份
600011,华能国际
000543,皖能电力
002966,苏州银行
000767,晋控电力
600859,王府井
300423,昇辉科技
600938,中国海油
300413,芒果超媒
000733,振华科技
688063,派能科技
600603,广汇物流
603305,旭升集团
600435,北方导航
600760,中航沈飞
300593,新雷能
600765,中航重机
300034,钢研高纳
002446,盛路通信
000708,中信特钢
300451,创业慧康
002294,信立泰
603387,基蛋生物
603889,新澳股份
688266,泽璟制药
601858,中国科传
835368,连城数控
833819,颖泰生物
834599,同力股份
836239,长虹能源
835640,富士达
830946,森萱医药
835985,海泰新能
300002,神州泰岳
688083,中望软件
002439,启明星辰
002803,吉宏股份
688516,奥特维
603027,千禾味业
002345,潮宏基
603369,今世缘
688639,华恒生物
603993,洛阳钼业
002240,盛新锂能
002176,江特电机
002497,雅化集团
003816,中国广核
000591,太阳能
601016,节能风电
000155,川能动力
600642,申能股份
002340,格林美
603160,汇顶科技
002185,华天科技
002422,科伦药业
002155,湖南黄金
002073,软控股份
002106,莱宝高科
601929,吉视传媒
002181,粤传媒
600651,飞乐音响
300027,华谊兄弟
600252,中恒集团
600085,同仁堂
600100,同方股份
000776,广发证券
000006,深振业A
000166,申万宏源
002500,山西证券
600583,海油工程
600688,上海石化
600157,永泰能源
601918,*ST新集
601808,中海油服
300055,万邦达
600428,中远海特
000933,*ST神火
600399,抚顺特钢
600317,营口港
000078,海王生物
600704,物产中大
002092,中泰化学
600138,中青旅
600628,新世界
300369,绿盟科技
300566,激智科技
000866,扬子石化
600207,安彩高科
000039,中集集团
600018,上港集团
000792,盐湖股份
600005,武钢股份
600694,大商股份
600456,宝钛股份
600740,山西焦化
600755,厦门国贸
002034,旺能环境
000402,金融街
600308,华泰股份
600022,山东钢铁
000698,沈阳化工
601975,招商南油
000926,福星股份
600062,华润双鹤
000422,湖北宜化
000417,合肥百货
002251,步步高
002233,塔牌集团
002249,大洋电机
002237,恒邦股份
002234,民和股份
002248,华东数控
600123,兰花科创
600348,华阳股份
600582,天地科技
600835,上海机电
300005,探路者
002013,中航机电
002118,*ST紫鑫
002296,辉煌科技
002131,利欧股份
601717,郑煤机
603001,ST奥康
300312,邦讯退
002673,西部证券
603333,尚纬股份
300318,博晖创新
002029,七匹狼
600199,金种子酒
002004,华邦健康
002589,瑞康医药
002146,荣盛发展
300301,*ST长方
300088,长信科技
002749,国光股份
688018,乐鑫科技
688981,中芯国际
688112,鼎阳科技
688533,上声电子
601901,方正证券
000826,启迪环境
000598,兴蓉环境
002431,棕榈股份
601908,京运通
600481,双良节能
000875,吉电股份
600478,科力远
002558,巨人网络
000793,华闻集团
002174,游族网络
002738,中矿资源
300568,星源材质
603606,东方电缆
688116,天奈科技
600873,梅花生物
603486,科沃斯
600839,四川长虹
300724,捷佳伟创
688012,中微公司
688008,澜起科技
688002,睿创微纳
688099,晶晨股份
002481,双塔食品
002355,兴民智通
300113,顺网科技
